valid_time,bnds,latitude,longitude,valid_time_bnds,stl1,stl2,lblt
2002-03-11 11:30:00,0,-20.0,-48.0,2002-03-11 00:00:00,27.1336,26.566309,21.323938
2002-03-11 11:30:00,0,-20.0,-47.75,2002-03-11 00:00:00,26.643122,26.124964,20.980219
2002-03-11 11:30:00,0,-20.0,-47.5,2002-03-11 00:00:00,25.645716,25.250147,20.634363
2002-03-11 11:30:00,0,-20.0,-47.25,2002-03-11 00:00:00,24.343714,24.07998,21.722803
2002-03-11 11:30:00,0,-20.0,-47.0,2002-03-11 00:00:00,23.165247,22.971155,21.350122
2002-03-11 11:30:00,0,-20.0,-46.75,2002-03-11 00:00:00,22.56164,22.412806,17.599695
2002-03-11 11:30:00,0,-20.0,-46.5,2002-03-11 00:00:00,22.992243,22.77862,17.528437
2002-03-11 11:30:00,0,-20.0,-46.25,2002-03-11 00:00:00,23.98971,23.668756,18.249384
2002-03-11 11:30:00,0,-20.0,-46.0,2002-03-11 00:00:00,24.837854,24.42544,19.737055
2002-03-11 11:30:00,0,-20.0,-45.75,2002-03-11 00:00:00,25.053522,24.611963,20.805994
2002-03-11 11:30:00,0,-20.0,-45.5,2002-03-11 00:00:00,25.082972,24.633448,20.628351
2002-03-11 11:30:00,0,-20.0,-45.25,2002-03-11 00:00:00,24.613733,24.14239,18.946802
2002-03-11 11:30:00,0,-20.0,-45.0,2002-03-11 00:00:00,24.570276,24.042688,18.654383
2002-03-11 11:30:00,0,-20.0,-44.75,2002-03-11 00:00:00,24.407282,23.917048,22.900324
2002-03-11 11:30:00,0,-20.0,-44.5,2002-03-11 00:00:00,23.863825,23.391993,23.025751
2002-03-11 11:30:00,0,-20.0,-44.25,2002-03-11 00:00:00,23.627405,23.176905,22.463343
2002-03-11 11:30:00,0,-20.0,-44.0,2002-03-11 00:00:00,22.921839,22.548151,22.017267
2002-03-11 11:30:00,0,-20.0,-43.75,2002-03-11 00:00:00,22.223505,21.896692,20.661402
2002-03-11 11:30:00,0,-20.0,-43.5,2002-03-11 00:00:00,22.369349,21.980677,20.994379
2002-03-11 11:30:00,0,-20.0,-43.25,2002-03-11 00:00:00,23.245173,22.742884,23.340693
2002-03-11 11:30:00,0,-20.0,-43.0,2002-03-11 00:00:00,24.49566,23.868616,21.694818
2002-03-11 11:30:00,0,-20.25,-48.0,2002-03-11 00:00:00,27.474085,26.848352,22.086786
2002-03-11 11:30:00,0,-20.25,-47.75,2002-03-11 00:00:00,26.601435,26.074762,22.345972
2002-03-11 11:30:00,0,-20.25,-47.5,2002-03-11 00:00:00,25.532038,25.116907,20.213861
2002-03-11 11:30:00,0,-20.25,-47.25,2002-03-11 00:00:00,24.668756,24.381495,21.841486
2002-03-11 11:30:00,0,-20.25,-47.0,2002-03-11 00:00:00,24.043085,23.850733,21.98504
2002-03-11 11:30:00,0,-20.25,-46.75,2002-03-11 00:00:00,23.432245,23.263483,18.968348
2002-03-11 11:30:00,0,-20.25,-46.5,2002-03-11 00:00:00,23.428919,23.225153,17.864801
2002-03-11 11:30:00,0,-20.25,-46.25,2002-03-11 00:00:00,24.351862,24.0422,18.552149
2002-03-11 11:30:00,0,-20.25,-46.0,2002-03-11 00:00:00,24.741327,24.371546,19.58999
2002-03-11 11:30:00,0,-20.25,-45.75,2002-03-11 00:00:00,24.94259,24.545954,20.643915
2002-03-11 11:30:00,0,-20.25,-45.5,2002-03-11 00:00:00,24.573938,24.196497,21.121332
2002-03-11 11:30:00,0,-20.25,-45.25,2002-03-11 00:00:00,23.968378,23.57046,20.753962
2002-03-11 11:30:00,0,-20.25,-45.0,2002-03-11 00:00:00,24.106012,23.64303,18.357508
2002-03-11 11:30:00,0,-20.25,-44.75,2002-03-11 00:00:00,23.992151,23.569056,21.202448
2002-03-11 11:30:00,0,-20.25,-44.5,2002-03-11 00:00:00,23.4526,23.016321,20.523676
2002-03-11 11:30:00,0,-20.25,-44.25,2002-03-11 00:00:00,23.180292,22.750788,22.876734
2002-03-11 11:30:00,0,-20.25,-44.0,2002-03-11 00:00:00,22.493036,22.13946,22.456354
2002-03-11 11:30:00,0,-20.25,-43.75,2002-03-11 00:00:00,21.859827,21.559961,21.86532
2002-03-11 11:30:00,0,-20.25,-43.5,2002-03-11 00:00:00,22.022821,21.662989,22.156794
2002-03-11 11:30:00,0,-20.25,-43.25,2002-03-11 00:00:00,23.640009,23.069971,22.595331
2002-03-11 11:30:00,0,-20.25,-43.0,2002-03-11 00:00:00,25.050837,24.319056,20.652124
2002-03-11 11:30:00,0,-20.5,-48.0,2002-03-11 00:00:00,27.001184,26.372614,21.504602
2002-03-11 11:30:00,0,-20.5,-47.75,2002-03-11 00:00:00,26.097773,25.567774,21.116266
2002-03-11 11:30:00,0,-20.5,-47.5,2002-03-11 00:00:00,25.28277,24.81988,19.21966
2002-03-11 11:30:00,0,-20.5,-47.25,2002-03-11 00:00:00,24.711481,24.357477,19.357386
2002-03-11 11:30:00,0,-20.5,-47.0,2002-03-11 00:00:00,24.678278,24.414362,20.675776
2002-03-11 11:30:00,0,-20.5,-46.75,2002-03-11 00:00:00,24.469782,24.237604,20.596918
2002-03-11 11:30:00,0,-20.5,-46.5,2002-03-11 00:00:00,24.312464,24.062159,19.755457
2002-03-11 11:30:00,0,-20.5,-46.25,2002-03-11 00:00:00,24.180536,23.934626,20.573755
2002-03-11 11:30:00,0,-20.5,-46.0,2002-03-11 00:00:00,24.569635,24.26333,21.609735
2002-03-11 11:30:00,0,-20.5,-45.75,2002-03-11 00:00:00,24.592493,24.279352,20.69961
2002-03-11 11:30:00,0,-20.5,-45.5,2002-03-11 00:00:00,24.25329,23.956934,20.818537
2002-03-11 11:30:00,0,-20.5,-45.25,2002-03-11 00:00:00,23.601282,23.276178,22.173487
2002-03-11 11:30:00,0,-20.5,-45.0,2002-03-11 00:00:00,23.558893,23.182673,18.008387
2002-03-11 11:30:00,0,-20.5,-44.75,2002-03-11 00:00:00,23.432093,23.063196,19.15426
2002-03-11 11:30:00,0,-20.5,-44.5,2002-03-11 00:00:00,23.150995,22.702784,17.909174
2002-03-11 11:30:00,0,-20.5,-44.25,2002-03-11 00:00:00,22.902155,22.453333,20.822382
2002-03-11 11:30:00,0,-20.5,-44.0,2002-03-11 00:00:00,22.724726,22.287256,22.512568
2002-03-11 11:30:00,0,-20.5,-43.75,2002-03-11 00:00:00,22.092646,21.709131,21.92248
2002-03-11 11:30:00,0,-20.5,-43.5,2002-03-11 00:00:00,22.551813,22.097376,20.874933
2002-03-11 11:30:00,0,-20.5,-43.25,2002-03-11 00:00:00,24.118464,23.458704,20.778315
2002-03-11 11:30:00,0,-20.5,-43.0,2002-03-11 00:00:00,24.815638,24.087946,19.8229
2002-03-11 11:30:00,0,-20.75,-48.0,2002-03-11 00:00:00,26.63473,26.051966,24.154352
2002-03-11 11:30:00,0,-20.75,-47.75,2002-03-11 00:00:00,25.915491,25.380823,19.400629
2002-03-11 11:30:00,0,-20.75,-47.5,2002-03-11 00:00:00,25.259974,24.789454,19.722132
2002-03-11 11:30:00,0,-20.75,-47.25,2002-03-11 00:00:00,24.686579,24.29928,18.26394
2002-03-11 11:30:00,0,-20.75,-47.0,2002-03-11 00:00:00,24.66607,24.345026,19.831476
2002-03-11 11:30:00,0,-20.75,-46.75,2002-03-11 00:00:00,24.46081,24.186823,20.601007
2002-03-11 11:30:00,0,-20.75,-46.5,2002-03-11 00:00:00,24.288782,24.04629,21.330042
2002-03-11 11:30:00,0,-20.75,-46.25,2002-03-11 00:00:00,24.294886,24.07516,23.73501
2002-03-11 11:30:00,0,-20.75,-46.0,2002-03-11 00:00:00,24.222528,24.004297,23.238703
2002-03-11 11:30:00,0,-20.75,-45.75,2002-03-11 00:00:00,24.10119,23.90484,22.942713
2002-03-11 11:30:00,0,-20.75,-45.5,2002-03-11 00:00:00,24.10583,23.871973,21.024958
2002-03-11 11:30:00,0,-20.75,-45.25,2002-03-11 00:00:00,23.630579,23.354456,22.724909
2002-03-11 11:30:00,0,-20.75,-45.0,2002-03-11 00:00:00,23.264765,22.961084,19.133814
2002-03-11 11:30:00,0,-20.75,-44.75,2002-03-11 00:00:00,23.083796,22.733057,17.471613
2002-03-11 11:30:00,0,-20.75,-44.5,2002-03-11 00:00:00,22.889032,22.455866,17.092096
2002-03-11 11:30:00,0,-20.75,-44.25,2002-03-11 00:00:00,22.789759,22.314112,20.4667
2002-03-11 11:30:00,0,-20.75,-44.0,2002-03-11 00:00:00,22.686487,22.196009,20.454187
2002-03-11 11:30:00,0,-20.75,-43.75,2002-03-11 00:00:00,22.816706,22.289942,20.647364
2002-03-11 11:30:00,0,-20.75,-43.5,2002-03-11 00:00:00,23.488977,22.886438,19.987574
2002-03-11 11:30:00,0,-20.75,-43.25,2002-03-11 00:00:00,24.231897,23.56759,19.431543
2002-03-11 11:30:00,0,-20.75,-43.0,2002-03-11 00:00:00,24.546595,23.873743,20.991388
2002-03-11 11:30:00,0,-21.0,-48.0,2002-03-11 00:00:00,26.671015,26.095423,25.504175
2002-03-11 11:30:00,0,-21.0,-47.75,2002-03-11 00:00:00,26.01275,25.508844,21.44546
2002-03-11 11:30:00,0,-21.0,-47.5,2002-03-11 00:00:00,25.365595,24.957178,20.165552
2002-03-11 11:30:00,0,-21.0,-47.25,2002-03-11 00:00:00,24.763239,24.417383,18.830072
