valid_time,latitude,longitude,number,expver,u10
2002-03-11 22:00:00,-21.0,-45.5,0,0001,-1.6579132
2002-03-11 22:00:00,-21.0,-45.25,0,0001,-1.3092804
2002-03-11 22:00:00,-21.0,-45.0,0,0001,-0.84443665
2002-03-11 22:00:00,-21.0,-44.75,0,0001,-0.70674133
2002-03-11 22:00:00,-21.0,-44.5,0,0001,-1.2379913
2002-03-11 22:00:00,-21.0,-44.25,0,0001,-1.9381866
2002-03-11 22:00:00,-21.0,-44.0,0,0001,-2.2526398
2002-03-11 22:00:00,-21.0,-43.75,0,0001,-2.1735382
2002-03-11 22:00:00,-21.0,-43.5,0,0001,-1.6725616
2002-03-11 22:00:00,-21.0,-43.25,0,0001,-1.8620148
2002-03-11 22:00:00,-21.0,-43.0,0,0001,-1.7233429
2002-03-11 22:00:00,-21.25,-48.0,0,0001,-1.600296
2002-03-11 22:00:00,-21.25,-47.75,0,0001,-1.9469757
2002-03-11 22:00:00,-21.25,-47.5,0,0001,-1.6774445
2002-03-11 22:00:00,-21.25,-47.25,0,0001,-1.5153351
2002-03-11 22:00:00,-21.25,-47.0,0,0001,-1.6598663
2002-03-11 22:00:00,-21.25,-46.75,0,0001,-1.9694366
2002-03-11 22:00:00,-21.25,-46.5,0,0001,-1.9186554
2002-03-11 22:00:00,-21.25,-46.25,0,0001,-1.6745148
2002-03-11 22:00:00,-21.25,-46.0,0,0001,-1.4147491
2002-03-11 22:00:00,-21.25,-45.75,0,0001,-1.4137726
2002-03-11 22:00:00,-21.25,-45.5,0,0001,-1.4987335
2002-03-11 22:00:00,-21.25,-45.25,0,0001,-1.3747101
2002-03-11 22:00:00,-21.25,-45.0,0,0001,-0.83662415
2002-03-11 22:00:00,-21.25,-44.75,0,0001,-0.33076477
2002-03-11 22:00:00,-21.25,-44.5,0,0001,-1.1842804
2002-03-11 22:00:00,-21.25,-44.25,0,0001,-1.6432648
2002-03-11 22:00:00,-21.25,-44.0,0,0001,-2.2126007
2002-03-11 22:00:00,-21.25,-43.75,0,0001,-2.3444366
2002-03-11 22:00:00,-21.25,-43.5,0,0001,-1.990921
2002-03-11 22:00:00,-21.25,-43.25,0,0001,-1.5426788
2002-03-11 22:00:00,-21.25,-43.0,0,0001,-1.5963898
2002-03-11 22:00:00,-21.5,-48.0,0,0001,-2.044632
2002-03-11 22:00:00,-21.5,-47.75,0,0001,-1.5280304
2002-03-11 22:00:00,-21.5,-47.5,0,0001,-1.4333038
2002-03-11 22:00:00,-21.5,-47.25,0,0001,-1.4694366
2002-03-11 22:00:00,-21.5,-47.0,0,0001,-1.5895538
2002-03-11 22:00:00,-21.5,-46.75,0,0001,-1.8307648
2002-03-11 22:00:00,-21.5,-46.5,0,0001,-2.1461945
2002-03-11 22:00:00,-21.5,-46.25,0,0001,-1.6598663
2002-03-11 22:00:00,-21.5,-46.0,0,0001,-1.615921
2002-03-11 22:00:00,-21.5,-45.75,0,0001,-1.7135773
2002-03-11 22:00:00,-21.5,-45.5,0,0001,-1.4635773
2002-03-11 22:00:00,-21.5,-45.25,0,0001,-1.0456085
2002-03-11 22:00:00,-21.5,-45.0,0,0001,-0.93818665
2002-03-11 22:00:00,-21.5,-44.75,0,0001,-0.34150696
