valid_time,latitude,longitude,stl1,stl2,lblt,number,expver
2002-03-11 00:00:00,-20.25,-46.25,297.7915,298.3269,291.7019,0,0001
2002-03-11 00:00:00,-20.25,-46.0,298.21143,298.60815,292.739,0,0001
2002-03-11 00:00:00,-20.25,-45.75,298.36182,298.78784,293.7932,0,0001
2002-03-11 00:00:00,-20.25,-45.5,297.93018,298.38745,294.30542,0,0001
2002-03-11 00:00:00,-20.25,-45.25,297.33447,297.65698,293.99048,0,0001
2002-03-11 00:00:00,-20.25,-45.0,297.48682,297.71558,291.5066,0,0001
2002-03-11 00:00:00,-20.25,-44.75,297.3423,297.61206,294.39624,0,0001
2002-03-11 00:00:00,-20.25,-44.5,296.688,297.05542,293.73022,0,0001
2002-03-11 00:00:00,-20.25,-44.25,296.30908,296.82104,296.47437,0,0001
2002-03-11 00:00:00,-20.25,-44.0,295.4126,296.22925,296.1848,0,0001
2002-03-11 00:00:00,-20.25,-43.75,294.6294,295.62964,295.55298,0,0001
2002-03-11 00:00:00,-20.25,-43.5,294.79346,295.70776,295.80493,0,0001
2002-03-11 00:00:00,-20.25,-43.25,296.55127,297.0984,296.11157,0,0001
2002-03-11 00:00:00,-20.25,-43.0,298.13916,298.2937,293.85767,0,0001
2002-03-11 00:00:00,-20.5,-48.0,300.83252,300.573,294.6809,0,0001
2002-03-11 00:00:00,-20.5,-47.75,299.96533,299.77612,294.3479,0,0001
2002-03-11 00:00:00,-20.5,-47.5,299.0669,299.05542,292.3694,0,0001
2002-03-11 00:00:00,-20.5,-47.25,298.48877,298.6902,292.5066,0,0001
2002-03-11 00:00:00,-20.5,-47.0,298.28564,298.89526,293.82495,0,0001
2002-03-11 00:00:00,-20.5,-46.75,298.0044,298.76636,293.74634,0,0001
2002-03-11 00:00:00,-20.5,-46.5,297.81104,298.47144,292.88403,0,0001
2002-03-11 00:00:00,-20.5,-46.25,297.5923,298.28394,293.71948,0,0001
2002-03-11 00:00:00,-20.5,-46.0,298.01025,298.5652,294.75513,0,0001
2002-03-11 00:00:00,-20.5,-45.75,298.08838,298.5359,293.8479,0,0001
2002-03-11 00:00:00,-20.5,-45.5,297.70947,298.15698,294.00317,0,0001
2002-03-11 00:00:00,-20.5,-45.25,297.0083,297.40503,295.35864,0,0001
2002-03-11 00:00:00,-20.5,-45.0,296.88135,297.36792,291.15796,0,0001
2002-03-11 00:00:00,-20.5,-44.75,296.70752,297.19995,292.30396,0,0001
2002-03-11 00:00:00,-20.5,-44.5,296.42432,296.74097,291.05884,0,0001
2002-03-11 00:00:00,-20.5,-44.25,296.0669,296.50464,294.37573,0,0001
2002-03-11 00:00:00,-20.5,-44.0,295.7212,296.30542,296.2312,0,0001
